attention_score,news_total,blog_total,policy_total,twitter_total,facebook_total,mendeley_total,fk_id_crp,fk_id_phases,fk_id_altmetrics_info
863,39,23,0,923,23,436,1,3,2
192,3,6,1,216,1,212,1,3,14
164,17,4,0,34,3,70,1,3,16
126,13,2,0,31,1,64,1,3,19
120,2,2,0,149,7,181,1,3,20
52,4,1,0,16,2,39,1,3,36
47,1,0,0,58,0,0,1,3,42
35,0,1,0,61,4,0,1,3,64
32,4,0,0,14,1,49,1,3,74
32,0,1,0,51,0,0,1,3,75
29,0,1,0,36,0,0,1,3,80
27,0,1,0,28,0,0,1,3,85
26,0,2,0,31,0,14,1,3,88
25,0,1,0,33,0,32,1,3,98
24,4,0,0,0,0,58,1,3,99
23,0,1,0,24,1,45,1,3,106
22,1,2,0,8,0,32,1,3,110
22,0,0,0,31,0,0,1,3,111
21,1,1,0,16,0,47,1,3,118
20,0,1,0,17,0,12,1,3,122
20,0,1,0,32,0,0,1,3,128
17,0,0,0,25,2,0,1,3,152
16,0,0,0,18,0,0,1,3,162
16,0,1,0,16,1,21,1,3,163
15,0,1,0,11,0,0,1,3,174
15,0,1,0,7,0,29,1,3,176
15,0,1,0,12,0,0,1,3,180
14,0,1,0,15,0,17,1,3,193
13,0,1,0,7,0,0,1,3,198
13,0,1,0,8,0,0,1,3,199
13,0,1,0,8,0,0,1,3,205
12,0,1,0,1,0,4,1,3,213
12,0,2,0,8,1,30,1,3,220
11,1,0,0,3,0,0,1,3,226
11,0,1,0,4,1,0,1,3,230
11,0,1,0,10,0,49,1,3,233
11,0,0,0,22,0,0,1,3,236
11,0,0,0,19,0,18,1,3,238
11,0,1,0,6,0,0,1,3,240
10,1,0,0,1,0,0,1,3,244
10,0,0,0,25,0,30,1,3,253
10,0,1,0,4,0,10,1,3,254
10,0,3,0,6,1,34,1,3,256
10,0,0,0,11,0,0,1,3,264
10,1,0,0,2,0,0,1,3,265
10,0,1,0,3,1,13,1,3,267
10,0,0,0,13,0,42,1,3,270
9,0,1,0,1,0,0,1,3,280
9,0,1,0,4,0,44,1,3,290
9,0,0,0,13,0,0,1,3,295
8,0,0,0,11,2,31,1,3,304
8,0,1,0,1,0,0,1,3,306
8,0,1,0,1,0,0,1,3,307
8,0,1,0,1,0,31,1,3,309
8,0,1,0,1,0,13,1,3,325
8,0,1,0,1,0,0,1,3,347
8,0,1,0,1,0,0,1,3,359
8,0,1,0,1,0,0,1,3,365
7,0,0,0,15,1,29,1,3,373
7,0,0,0,8,0,7,1,3,375
17,0,0,0,10,1,45,1,3,376
7,0,0,0,10,0,14,1,3,378
7,0,0,0,8,0,0,1,3,379
7,0,0,0,7,0,55,1,3,380
7,0,0,0,10,1,0,1,3,382
6,0,1,0,0,0,0,1,3,387
6,0,1,0,0,0,13,1,3,390
6,0,1,0,0,0,0,1,3,398
6,0,1,0,0,0,0,1,3,403
6,0,0,0,13,0,43,1,3,405
6,0,1,0,0,0,0,1,3,415
6,0,0,0,12,1,22,1,3,435
5,0,0,0,8,0,0,1,3,445
5,0,0,0,7,0,0,1,3,446
5,0,0,0,6,0,0,1,3,454
5,0,0,0,8,1,0,1,3,456
4,0,0,0,5,1,0,1,3,459
4,0,0,0,4,0,0,1,3,471
4,0,0,0,5,1,0,1,3,474
4,0,0,0,4,0,46,1,3,478
4,0,0,1,4,0,51,1,3,479
4,0,0,0,4,0,0,1,3,490
3,0,0,0,4,0,0,1,3,494
3,0,0,0,6,0,0,1,3,497
3,0,0,0,4,0,0,1,3,505
3,0,0,0,8,0,18,1,3,507
3,0,0,0,6,0,77,1,3,511
3,0,0,0,4,0,0,1,3,531
3,0,0,1,0,0,0,1,3,534
2,0,0,0,2,0,146,1,3,544
2,0,0,0,5,0,30,1,3,545
2,0,0,0,3,0,0,1,3,547
2,0,0,0,3,0,18,1,3,549
2,0,0,0,2,0,0,1,3,553
2,0,0,0,2,0,0,1,3,554
2,0,0,0,5,0,11,1,3,561
2,0,0,0,2,0,0,1,3,564
2,0,0,0,5,1,111,1,3,566
2,0,0,0,3,0,9,1,3,567
2,0,0,0,4,0,0,1,3,573
2,0,0,0,3,0,13,1,3,583
2,0,0,0,3,0,0,1,3,584
1,0,0,0,1,0,0,1,3,595
1,0,0,0,2,0,0,1,3,598
1,0,0,0,1,0,0,1,3,600
1,0,0,0,1,0,0,1,3,609
1,0,0,0,1,0,0,1,3,610
1,0,0,0,1,0,0,1,3,611
1,0,0,0,2,0,0,1,3,615
1,0,0,0,1,0,0,1,3,617
1,0,0,0,1,0,0,1,3,619
1,0,0,0,2,0,21,1,3,630
1,0,0,0,2,0,0,1,3,634
1,0,0,0,1,0,0,1,3,640
1,0,0,0,2,0,0,1,3,641
1,0,0,0,1,0,0,1,3,642
1,0,0,0,2,0,0,1,3,643
1,0,0,0,1,0,0,1,3,651
1,0,0,0,1,0,0,1,3,652
1,0,0,0,1,0,0,1,3,663
1,0,0,0,1,0,13,1,3,664
1,0,0,0,1,0,0,1,3,671
1,0,0,0,1,0,0,1,3,672
1,0,0,0,1,0,0,1,3,679
1,0,0,0,2,0,0,1,3,685
1,0,0,0,2,0,0,1,3,691
1,0,0,0,1,0,0,1,3,692
1,0,0,0,1,0,0,1,3,694
1,0,0,0,1,0,20,1,3,697
1,0,0,0,1,0,53,1,3,698
1,0,0,0,2,0,0,1,3,712
1,0,0,0,1,0,43,1,3,719
1,0,0,0,8,0,19,1,3,721
1,0,0,0,1,0,0,1,3,725
1,0,0,0,1,0,0,1,3,726
1,0,0,0,1,0,0,1,3,731
1,0,0,0,3,0,23,1,3,736
1,0,0,0,1,0,14,1,3,737
1,0,0,0,1,0,0,1,3,740
1,0,0,0,1,0,0,1,3,745
1,0,0,0,1,0,0,1,3,746
1,0,0,0,1,0,6,1,3,751
1,0,0,0,2,0,0,1,3,752
1,0,0,0,1,0,0,1,3,753
1,0,0,0,1,0,0,1,3,757
1,0,0,0,1,0,0,1,3,759
1,0,0,0,2,0,0,1,3,760
1,0,0,0,1,0,0,1,3,761
1,0,0,0,2,0,0,1,3,766
1,0,0,0,1,0,0,1,3,767
1,0,0,0,2,0,0,1,3,772
1,0,0,0,2,0,0,1,3,776
1,0,0,0,2,0,0,1,3,778
0,0,0,0,0,0,0,1,3,781
0,0,0,0,0,0,0,1,3,785
0,0,0,0,0,0,0,1,3,786
0,0,0,0,0,0,12,1,3,789
0,0,0,0,0,0,0,1,3,791
0,0,0,0,0,0,0,1,3,792
0,0,0,0,0,0,0,1,3,795
