fk_id_policy_info,fk_id_crp,fk_id_pol_inv_typ,fk_id_smo_org_types,fk_id_stage_processes,fk_id_stg_maturity,fk_id_geo_scopes,fk_id_phases,fk_id_location,fk_id_ext_partner,fk_id_policy_owner,"fk_id_oics"
1,2,1,0,4,0,4,26,85,298,2,"326"
2,2,1,0,3,0,4,23,67,346,2,"165"
2,2,1,0,3,0,4,23,67,673,2,"165"
2,2,1,0,3,0,4,23,67,1962,2,"165"
2,2,1,0,3,0,4,23,67,2037,2,"165"
2,2,1,0,3,0,4,23,67,113,2,"165"
2,2,1,0,3,0,4,23,67,346,1,"165"
2,2,1,0,3,0,4,23,67,673,1,"165"
2,2,1,0,3,0,4,23,67,1962,1,"165"
2,2,1,0,3,0,4,23,67,2037,1,"165"
2,2,1,0,3,0,4,23,67,113,1,"165"
403,2,1,0,4,0,4,29,67,346,2,"712"
403,2,1,0,4,0,4,29,67,673,2,"712"
403,2,1,0,4,0,4,29,67,1962,2,"712"
403,2,1,0,4,0,4,29,67,2037,2,"712"
403,2,1,0,4,0,4,29,67,113,2,"712"
403,2,1,0,4,0,4,29,67,291,2,"712"
403,2,1,0,4,0,4,29,67,346,1,"712"
403,2,1,0,4,0,4,29,67,673,1,"712"
403,2,1,0,4,0,4,29,67,1962,1,"712"
403,2,1,0,4,0,4,29,67,2037,1,"712"
403,2,1,0,4,0,4,29,67,113,1,"712"
403,2,1,0,4,0,4,29,67,291,1,"712"
3,1,1,10,3,0,2,6,298,646,2,"0"
3,1,1,10,3,0,2,6,298,21,2,"0"
3,1,1,10,3,0,2,6,298,184,2,"0"
3,1,1,10,3,0,2,6,298,269,2,"95"
3,1,1,10,3,0,2,6,298,471,2,"95"
3,1,1,10,3,0,2,6,298,2011,2,"95"
3,1,1,10,3,0,2,6,298,470,2,"95"
3,1,1,10,3,0,2,6,298,711,2,"95"
3,1,1,10,3,0,2,6,298,191,2,"95"
3,1,1,10,3,0,2,6,298,122,2,"95"
3,1,1,10,3,0,2,6,298,12,2,"95"
3,1,1,10,3,0,2,6,298,184,2,"95"
3,1,1,10,3,0,2,6,298,467,2,"95"
4,1,1,4,4,0,5,6,258,505,2,"0"
4,1,1,4,4,0,5,6,258,281,2,"0"
4,1,1,4,4,0,5,6,258,252,2,"0"
4,1,1,4,4,0,5,6,258,223,2,"0"
4,1,1,4,4,0,5,6,258,861,2,"0"
4,1,1,4,4,0,5,6,258,1662,2,"0"
5,1,1,8,4,0,3,6,24,944,2,"0"
5,1,1,8,4,0,3,6,24,860,2,"0"
5,1,1,8,4,0,3,6,24,285,2,"0"
5,1,1,8,4,0,3,6,24,27,2,"0"
5,1,1,8,4,0,3,6,24,93,2,"0"
5,1,1,8,4,0,3,6,135,944,2,"0"
5,1,1,8,4,0,3,6,135,860,2,"0"
5,1,1,8,4,0,3,6,135,285,2,"0"
5,1,1,8,4,0,3,6,135,27,2,"0"
5,1,1,8,4,0,3,6,135,93,2,"0"
6,1,1,8,4,0,5,6,24,93,2,"0"
6,1,1,8,4,0,5,6,24,860,2,"0"
6,1,1,8,4,0,5,6,24,944,2,"0"
6,1,1,8,4,0,5,6,24,2198,2,"0"
7,1,1,8,4,0,4,6,118,202,2,"0"
7,1,1,8,4,0,4,6,118,106,2,"0"
7,1,1,8,4,0,4,6,118,110,2,"0"
7,1,1,8,4,0,4,6,118,115,2,"0"
7,1,1,8,4,0,4,6,118,112,2,"0"
7,1,1,8,4,0,4,6,118,400,2,"0"
8,1,1,8,4,0,4,6,93,554,2,"0"
8,1,1,8,4,0,4,6,93,506,2,"0"
8,1,1,8,4,0,4,6,93,711,2,"0"
9,1,1,4,4,0,4,6,258,505,2,"0"
9,1,1,4,4,0,4,6,258,281,2,"0"
9,1,1,4,4,0,4,6,258,252,2,"0"
9,1,1,4,4,0,4,6,258,223,2,"0"
9,1,1,4,4,0,4,6,258,861,2,"0"
9,1,1,4,4,0,4,6,258,1662,2,"0"
10,1,1,8,4,0,5,6,183,815,2,"97"
10,1,1,8,4,0,5,6,183,954,2,"97"
10,1,1,8,4,0,5,6,183,372,2,"97"
11,1,3,8,4,0,5,9,183,491,2,"330"
11,1,3,8,4,0,5,9,183,2504,2,"330"
11,1,3,8,4,0,5,9,183,79,2,"330"
11,1,3,8,4,0,5,9,183,695,2,"330"
11,1,3,8,4,0,5,9,183,2746,2,"330"
11,1,3,8,4,0,5,9,183,951,2,"330"
12,1,1,8,4,0,4,6,269,203,2,"184"
13,1,1,8,5,0,4,9,269,203,2,"0"
13,1,1,8,5,0,4,9,269,203,2,"341"
14,1,3,10,4,0,1,6,87,0,1,"115"
14,1,3,10,4,0,1,6,87,673,1,"0"
15,1,4,8,4,0,4,6,201,1018,2,"0"
16,1,1,6,3,0,5,6,258,1599,3,"0"
16,1,1,6,3,0,5,6,258,158,3,"0"
17,1,1,8,4,0,5,6,201,273,2,"0"
18,1,1,4,4,0,4,6,201,273,2,"0"
19,1,1,0,4,0,4,6,201,273,2,"0"
20,2,1,0,4,0,4,23,139,693,2,"197"
20,2,1,0,4,0,4,23,139,302,2,"197"
20,2,1,0,4,0,4,23,139,673,2,"197"
21,2,1,0,4,0,4,23,19,650,2,"199"
21,2,1,0,4,0,4,23,19,294,2,"199"
21,2,1,0,4,0,4,23,19,673,2,"199"
22,1,1,8,3,0,4,6,26,186,2,"0"
23,1,2,4,4,0,5,6,258,505,2,"0"
23,1,2,4,4,0,5,6,258,281,2,"0"
23,1,2,4,4,0,5,6,258,252,2,"0"
23,1,2,4,4,0,5,6,258,223,2,"0"
23,1,2,4,4,0,5,6,258,861,2,"0"
23,1,2,4,4,0,5,6,258,1662,2,"0"
24,1,1,8,4,0,4,6,50,193,2,"187"
24,1,1,8,4,0,4,6,50,2206,2,"187"
25,1,1,8,4,0,4,6,201,271,2,"0"
25,1,1,8,4,0,4,6,201,113,2,"0"
25,1,1,8,4,0,4,6,201,1692,2,"0"
25,1,1,8,4,0,4,6,201,1825,2,"0"
25,1,1,8,4,0,4,6,201,1826,2,"0"
25,1,1,8,4,0,4,6,201,273,2,"0"
26,1,4,8,4,0,4,6,85,552,2,"164"
26,1,4,8,4,0,4,6,85,25,2,"164"
26,1,4,8,4,0,4,6,85,105,2,"164"
26,1,4,8,4,0,4,6,85,106,2,"164"
26,1,4,8,4,0,4,6,85,552,3,"164"
26,1,4,8,4,0,4,6,85,25,3,"164"
26,1,4,8,4,0,4,6,85,105,3,"164"
26,1,4,8,4,0,4,6,85,106,3,"164"
27,1,1,8,4,0,5,6,269,123,2,"0"
28,1,1,8,4,0,5,6,201,556,2,"0"
28,1,1,8,4,0,5,6,201,273,2,"0"
28,1,1,8,4,0,5,6,201,86,2,"0"
28,1,1,8,4,0,5,6,201,279,2,"0"
28,1,1,8,4,0,5,6,201,273,2,"0"
28,1,1,8,4,0,5,6,201,273,2,"0"
28,1,1,8,4,0,5,6,201,106,2,"0"
28,1,1,8,4,0,5,6,201,1692,2,"0"
29,1,1,3,3,0,1,6,87,552,3,"0"
29,1,1,3,3,0,1,6,87,1384,3,"0"
29,1,1,3,3,0,1,6,87,552,4,"0"
29,1,1,3,3,0,1,6,87,1384,4,"0"
30,1,1,5,3,0,4,6,50,79,2,"0"
30,1,1,5,3,0,4,6,50,467,2,"0"
30,1,1,5,3,0,4,6,50,191,2,"0"
30,1,1,5,3,0,4,6,50,192,2,"0"
31,1,3,3,4,0,3,6,50,677,4,"114"
31,1,3,3,4,0,3,6,50,106,4,"0"
31,1,3,3,4,0,3,6,50,677,4,"0"
31,1,3,3,4,0,3,6,54,677,4,"114"
31,1,3,3,4,0,3,6,54,106,4,"0"
31,1,3,3,4,0,3,6,54,677,4,"0"
31,1,3,3,4,0,3,6,66,677,4,"114"
31,1,3,3,4,0,3,6,66,106,4,"0"
31,1,3,3,4,0,3,6,66,677,4,"0"
31,1,3,3,4,0,3,6,85,677,4,"114"
31,1,3,3,4,0,3,6,85,106,4,"0"
31,1,3,3,4,0,3,6,85,677,4,"0"
31,1,3,3,4,0,3,6,93,677,4,"114"
31,1,3,3,4,0,3,6,93,106,4,"0"
31,1,3,3,4,0,3,6,93,677,4,"0"
31,1,3,3,4,0,3,6,101,677,4,"114"
31,1,3,3,4,0,3,6,101,106,4,"0"
31,1,3,3,4,0,3,6,101,677,4,"0"
31,1,3,3,4,0,3,6,106,677,4,"114"
31,1,3,3,4,0,3,6,106,106,4,"0"
31,1,3,3,4,0,3,6,106,677,4,"0"
31,1,3,3,4,0,3,6,118,677,4,"114"
