pk_id_oics,version,date_from,date_to,id_oics,"title_oics",id_project,"title_project","scope_comments","outcome_impact_statement","gender_relev","youth_relev","capdev_relev","pdf","climate_relev","pk"
0,1,,,,,,,,,,,,,,
1,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2008,"The Women’s Empowerment in Agriculture Index is used by the Africa Union’s Comprehensive Africa Agriculture Development Programme monitoring framework.",675,"6.1.1 Women's Empowerment in Agriculture: Access to and Control over Resources","Sub-Saharan Africa","The African Union’s Malabo/CAADP biennial reporting framework and guidelines recommended the use of the WEAI. Indicator 4.4, “Proportion of rural women that are empowered in agriculture”, was calculated using the WEAI’s five domains of empowerment (5DE) method. ","2 - Principal","0 - Not Targeted","2 - Principal",,,"2008_12"
2,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2015,"The Monitoring and Evaluation for Land in Africa (MELA) framework is applied in 12 African Countries.",663,"5.1.1 Enhancing Tenure Security","Process is still being rolled out in some countries","PIM worked with the African Land Policy Centre to develop a Monitoring and Evaluation framework for assessing progress on land governance in Africa, which allows tracking of progress on commitments made under the AU Declaration on Land Governance in Africa, including commitments to land rights for women and pastoralists. The MELA framework is being piloted by 12 countries.","1 - Significant","0 - Not Targeted","2 - Principal",,,"2015_12"
3,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2028,"Aflasafe products protect maize and groundnut from aflatoxin contamination in more than 100,000 hectares in four countries in sub-Saharan Africa ",342,"Technological and institutional innovations for assessing and mitigating food safety risks related to aflatoxins designed and tested, including capacity building","Large-scale use of Aflasafe is expanding to Burkina Faso, Tanzania, Ghana, Zambia, Malawi, Mozambique, and is expected to occur in other countries across Sub-Saharan Africa (e.g. Mali, Zimbabwe, Cameroon, Ethiopia).","IITA is implementing strategic partnerships with private companies or Government entities to use Aflasafe products in maize and groundnut fields of four sub-Saharan Africa nations. Over 100,000 ha were treated with Aflasafe during 2017, allowing production of maize and groundnut with safe aflatoxin levels. Large-scale use of Aflasafe contributed to improve food safety [e.g. in Nigeria 91% of samples had less than 20 ppb] and increased the income of smallholder maize farmers (average 11.5% more than regular maize).","1 - Significant","0 - Not Targeted","2 - Principal",,,"2028_14"
4,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2033,"The Joint Village Land Use Planning methodology secures tenure for pastoralists in Tanzania.",663,"5.1.1 Enhancing Tenure Security",,"The Sustainable Rangelands Management Project developed a joint village land use planning methodology to secure resources across village boundaries and group Certificates of Customary Right of Occupancy – an institutional innovation to provide pastoralists with secure and documented land rights. This led to certification of 12,187 ha of shared grazing area, benefitting over 3,000 pastoralists.","1 - Significant","1 - Significant","2 - Principal",,,"2033_12"
5,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2039,"Scalable CSA business models drove a USD 170 million national policy investment in India to curb crop residue burning",25,"Developing, adapting and targeting portfolios of CSA practices for sustainable intensification of smallholder and vulnerable farming systems in South Asia","Areas encircling residue burning affected zones showcase intense levels of health & productivity losses. Major high risk areas targeted are Haryana, Punjab& Delhi-NCR affected due to immense rice residue burning.","Science-based evidence generated by CCAFS-CIMMYT partners in the CSVs helped the Indian Government to prioritize crop residues management solutions and establish a large scale routing investment of USD 170 million for in-situ management using the Happy Seeder technology. Capacity development was the principal objective. There was a focus on enhancing women’s knowledge and motivating and attracting youth in agriculture. Activities also focused on engaging in agricultural education policy and training stakeholders.","1 - Significant","1 - Significant","2 - Principal",,,"2039_11"
6,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2050,"Informing UNFCCC decision on agriculture at COP23",267,"[Flagship Leader] FP3: Engagement, synthesis and support","The Koronivia Joint Work on Agriculture was agreed upon by all countries that are party to the UNFCCC.","After many years of negotiation a work program on agriculture was finally agreed. Through the provision of evidence and engagement in the UNFCCC process, and capacity development of regional negotiator groups in Africa, Asia and LAM, CCAFS played an important role in informing negotiators who reached a decisionon agriculture at COP23. Engagement efforts highlighted the importance of gender and social inclusion, which is also reflected in the decision.","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"2050_11"
7,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2074,"African meteorological institutions provide new high-resolution seasonal climate analyses for agricultural decision-making across 5 countries and regionally",266,"[Flagship Leader] FP4: Engagement, synthesis and support","Also includes IGAD and ECOWAS regions, through regional climate centers.","Five National Meteorological Services serving a rural population of 125 million (Mali, Rwanda, Senegal, Ethiopia, Malawi) and two regional climate centers in Africa routinely provide new high-resolution information and analyses of growing season characteristics for agricultural and food security decision-makers. The process has elevated the capacity and status of collaborating NMS. CCAFS developed the new tools, and contributed to their implementation and capacity development in partnership with the IRI's ENACTS initiative.","0 - Not Targeted","0 - Not Targeted","2 - Principal",,,"2074_11"
8,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2082,"Foresight research informs USAID investments in agricultural research and development.",656,"1.1.2 Improved Quantitative Strategic Foresight Modeling Tools and Applications","The interaction per se took place in Washington DC, with the potential to inform USAID's global mission.","The foresight research team published a study/report on the use of quantitative foresight modeling to inform the CGIAR Research Portfolio, commissioned and funded by the United States Agency for International Development (USAID). USAID took steps to make sure that the results were shared widely within the Bureau of Food Security, and requested additional analysis from the research team in 2018.","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"2082_12"
9,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2095,"ASTI data inform policies to improve agricultural research capacity, efficiency, and output delivery in Swaziland (Kingdom of Eswatini)",660,"1.2.3 Decision Support Systems for R&D",,"ASTI data informed a policy that prioritized higher education training for agricultural researchers in Swaziland, and was used in presentations, posters, and meeting communications to advocate for a reform of the national agricultural research system.","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"2095_12"
