fk_id_srf,fk_id_oics,Contribution,is_primary
4,3,0.5,0
17,3,0.5,0
,4,0.3333333333,0
13,4,0.3333333333,0
2,5,0.5,0
3,5,0.5,0
29,7,1.0,0
4,8,0.3333333333,0
,8,0.3333333333,0
10,8,0.3333333333,0
,10,0.3333333333,0
10,10,0.3333333333,0
2,11,0.5,0
5,11,0.5,0
4,12,0.5,0
6,12,0.5,0
5,13,0.5,0
6,13,0.5,0
20,14,0.5,0
1,15,0.5,0
1,16,1.0,0
,17,0.3333333333,0
12,17,0.3333333333,0
29,18,1.0,0
1,20,0.5,0
15,20,0.5,0
2,21,1.0,0
1,25,0.5,0
3,25,0.5,0
4,26,0.5,0
6,26,0.5,0
22,28,0.5,0
22,29,1.0,0
22,30,1.0,0
16,31,0.5,0
4,34,0.5,0
17,34,0.5,0
15,35,0.5,0
18,36,0.5,0
20,37,0.5,0
20,38,0.5,0
16,40,0.5,0
16,41,0.5,0
14,42,0.5,0
15,42,0.5,0
5,43,0.5,0
15,43,0.5,0
,44,0.5,0
11,44,0.5,0
1,45,0.5,0
3,45,0.5,0
,46,0.25,0
10,46,0.25,0
,46,0.25,0
11,46,0.25,0
,48,0.25,0
10,48,0.25,0
,48,0.25,0
11,48,0.25,0
5,50,1.0,0
5,51,0.5,0
15,51,0.5,0
5,52,0.5,0
6,53,0.5,0
7,53,0.5,0
8,54,0.5,0
30,54,0.5,0
25,55,0.5,0
28,55,0.5,0
5,56,0.5,0
7,56,0.5,0
25,57,0.5,0
28,57,0.5,0
3,84,1.0,0
,86,0.5,0
10,86,0.5,0
2,95,0.5,0
29,95,0.5,0
2,97,1.0,0
30,116,0.5,0
29,18,1.0,0
2,164,0.5,0
15,20,0.5,0
16,20,0.5,0
8,22,1.0,1
14,42,0.5,0
15,42,0.5,0
5,43,0.5,0
15,43,0.5,0
30,328,0.3333333333,0
28,330,0.5,0
2,341,0.3333333333,0
2,180,0.3333333333,0
,180,0.3333333333,0
11,180,0.3333333333,0
,181,0.25,0
9,181,0.25,0
,181,0.25,0
11,181,0.25,0
3,182,0.5,0
,189,0.1666666667,0
13,189,0.1666666667,0
23,189,0.1666666667,0
25,189,0.1666666667,0
25,189,0.1666666667,0
28,189,0.1666666667,1
,191,0.3333333333,0
10,191,0.3333333333,0
7,192,0.5,0
28,194,0.5,0
5,195,0.25,0
3,196,0.5,0
15,197,0.5,0
16,197,0.5,0
15,198,0.5,0
16,198,0.5,0
1,199,0.5,0
15,199,0.5,0
1,200,0.5,0
15,200,0.5,0
,205,0.3333333333,0
10,205,0.3333333333,0
18,209,0.5,0
25,211,0.5,0
3,212,0.25,0
3,212,0.25,0
,214,0.25,0
11,214,0.25,0
18,214,0.25,0
17,217,0.5,0
18,217,0.5,0
4,219,0.5,0
6,219,0.5,0
8,220,0.5,0
8,221,0.3333333333,0
,221,0.3333333333,0
10,221,0.3333333333,0
8,224,0.3333333333,1
,224,0.3333333333,0
10,224,0.3333333333,0
1,227,0.3333333333,0
,227,0.3333333333,0
11,227,0.3333333333,0
8,228,0.3333333333,0
,228,0.3333333333,0
10,228,0.3333333333,0
,229,0.3333333333,0
11,229,0.3333333333,0
28,229,0.3333333333,0
8,230,0.1666666667,0
8,230,0.1666666667,0
,230,0.1666666667,0
10,230,0.1666666667,0
,230,0.1666666667,1
10,230,0.1666666667,1
,236,0.3333333333,0
11,236,0.3333333333,0
,241,0.3333333333,0
10,241,0.3333333333,0
6,242,0.3333333333,0
,242,0.3333333333,0
10,242,0.3333333333,0
6,243,0.5,0
16,243,0.5,0
5,244,0.5,0
15,244,0.5,0
2,245,0.5,0
18,247,0.5,0
20,247,0.5,0
8,248,0.5,0
17,249,0.5,0
4,250,0.2,0
17,250,0.2,0
17,250,0.2,0
18,250,0.2,1
14,255,0.5,0
26,257,1.0,0
2,258,1.0,0
28,259,0.5,0
22,260,1.0,0
22,261,1.0,0
29,262,0.5,0
,263,0.3333333333,0
11,263,0.3333333333,0
28,263,0.3333333333,0
,264,0.5,0
11,264,0.5,0
4,265,0.5,0
6,265,0.5,0
5,271,0.5,0
20,271,0.5,0
6,272,0.5,0
20,273,1.0,0
8,415,0.3333333333,0
,415,0.3333333333,1
10,415,0.3333333333,1
,416,0.3333333333,1
9,416,0.3333333333,1
,417,0.3333333333,1
9,417,0.3333333333,1
2,418,0.3333333333,0
,418,0.3333333333,1
9,418,0.3333333333,1
24,419,0.5,0
28,419,0.5,1
7,420,0.5,1
8,420,0.5,0
8,421,0.3333333333,0
,421,0.3333333333,1
10,421,0.3333333333,1
,423,0.3333333333,1
10,423,0.3333333333,1
,424,0.5,1
9,424,0.5,1
,427,0.3333333333,0
10,427,0.3333333333,0
8,429,0.5,1
30,429,0.5,0
6,434,0.3333333333,0
,434,0.3333333333,1
9,434,0.3333333333,1
,276,0.25,0
10,276,0.25,0
,276,0.25,0
11,276,0.25,0
,277,0.25,0
10,277,0.25,0
,277,0.25,0
11,277,0.25,0
2,278,0.3333333333,0
,278,0.3333333333,0
12,278,0.3333333333,0
15,281,0.5,0
16,281,0.5,0
6,282,0.5,0
15,282,0.5,0
,283,0.3333333333,0
9,283,0.3333333333,0
14,283,0.3333333333,0
6,284,0.5,0
,285,0.3333333333,0
13,285,0.3333333333,0
17,285,0.3333333333,0
,286,0.25,0
10,286,0.25,0
,286,0.25,0
11,286,0.25,0
,287,0.5,0
