fk_id_innovation_info,fk_id_srf,is_primary
1098,8,0
1098,10,0
1099,10,1
1100,6,1
1101,10,1
1102,10,1
1103,10,0
1104,8,0
1104,10,0
1105,10,1
1106,8,0
1106,10,0
1107,26,1
1108,8,0
1108,10,0
1109,10,1
1110,8,1
1111,10,0
1112,2,1
1113,6,1
1114,26,1
1115,10,0
1116,10,1
1117,26,1
1118,10,1
1119,10,1
1120,10,1
1121,10,1
1122,10,1
1123,6,1
1124,10,1
1129,6,1
1131,10,1
1132,10,1
1133,10,1
1134,8,0
1134,10,0
1135,11,1
1136,11,1
1137,11,1
1138,10,1
1139,8,1
1140,12,0
1140,29,0
1140,28,0
1141,13,0
1141,22,0
1141,25,0
1142,12,0
1142,29,0
1142,28,0
1144,10,0
1144,11,0
1145,8,1
1146,29,0
1146,30,0
1147,30,0
1148,8,0
1148,10,0
1149,8,1
1150,8,1
1151,10,1
1152,8,1
1153,25,1
1154,29,0
1155,1,0
1156,8,0
1156,10,0
1157,29,0
1157,28,0
1162,30,1
1164,9,0
1164,14,0
1165,17,1
1165,18,0
1166,17,1
1166,18,0
1167,17,0
1168,17,0
1169,9,1
1171,7,0
1171,14,1
1172,5,1
1172,6,0
1172,14,0
1174,29,0
1175,13,0
1175,22,0
1175,29,0
1176,10,1
1176,11,0
980,2,0
980,3,1
1177,11,1
1178,6,1
1185,11,1
1186,11,1
1187,11,1
1188,11,1
1189,26,1
1190,12,1
1191,4,1
1195,4,1
1195,6,0
1196,4,1
1197,15,1
1198,2,0
1198,29,1
1198,28,0
1201,11,1
1203,10,1
1203,20,0
1204,10,1
1205,2,0
1205,10,1
1206,10,1
1207,10,1
1207,20,0
1208,10,1
1209,29,0
1209,28,1
1211,10,0
1211,17,1
1212,17,1
1212,20,0
1213,10,1
1214,10,1
1215,8,1
1216,15,1
1216,16,0
1218,11,1
1219,5,0
1219,16,0
1220,5,1
1220,6,0
1220,15,0
1221,5,1
1221,6,0
1221,14,0
1222,6,1
1222,11,0
1222,14,0
1223,30,0
1224,3,1
1224,6,0
1235,11,1
1237,10,0
1237,29,0
1238,2,0
1238,28,0
1239,15,0
1240,11,1
1243,15,1
1245,2,1
1245,8,0
1246,2,0
1246,8,1
1247,11,1
1247,24,0
1248,23,1
1248,22,0
1249,11,1
1251,23,1
1251,27,0
1253,12,1
1256,12,1
1257,12,1
1258,2,1
1258,9,0
1259,2,0
1259,9,1
1260,17,1
1261,11,1
1262,1,1
1262,2,0
1262,3,0
1264,23,0
1265,15,0
1266,1,1
1267,1,1
1268,29,0
1269,1,0
1269,29,1
1271,4,0
1271,15,1
1272,10,0
1272,26,1
1272,29,0
1273,10,1
1273,23,0
1273,29,0
1274,16,1
1275,16,1
1276,10,0
1276,28,1
1277,24,0
1277,27,0
1277,28,0
1278,3,0
1279,17,1
1280,17,1
1280,18,0
1281,17,1
1281,18,0
1282,17,1
1283,17,1
1284,17,1
1285,25,1
1286,20,1
1287,20,1
1288,20,1
1289,20,1
1291,29,0
1292,2,1
1292,1,0
1293,8,0
1293,10,1
1298,12,0
1299,4,0
1299,17,1
1300,14,1
1301,14,1
1302,14,1
1303,14,1
1304,14,1
1305,14,1
1306,14,1
1307,16,0
1308,14,1
1309,14,1
1310,14,1
1311,14,1
1312,14,1
1313,14,1
1314,14,1
1315,14,1
1316,14,1
1317,14,1
1318,14,1
1319,14,1
1320,14,1
1321,14,1
1322,14,1
1323,14,1
1324,14,1
1325,14,1
1326,14,1
1327,14,1
1329,28,0
1331,8,0
1331,29,0
1334,5,0
1334,11,1
1335,5,0
1335,11,1
1336,5,0
1336,11,1
1338,11,1
1339,11,1
1340,11,1
1340,26,0
1341,3,1
1342,1,0
1342,6,1
1344,28,1
1345,11,1
1345,10,0
1346,2,1
1347,2,1
