fk_id_policy_info,fk_id_srf,is_primary
25,6,0
28,30,0
29,6,0
235,16,1
35,15,0
36,14,0
39,14,0
46,10,0
51,30,0
52,1,0
54,18,0
55,21,0
56,29,0
57,11,0
60,4,0
64,15,0
65,18,0
66,10,0
67,18,0
73,18,0
75,1,0
76,18,0
77,17,0
78,17,0
79,26,0
80,2,0
81,2,0
82,23,0
84,25,0
85,4,0
86,20,0
87,20,0
88,20,0
89,11,0
90,12,0
91,8,0
92,8,0
94,23,0
236,14,0
95,14,0
237,14,0
96,14,0
211,12,0
212,12,0
213,12,0
238,4,1
239,10,1
240,9,0
241,29,0
215,10,0
1,15,0
216,10,0
217,10,0
219,10,0
220,10,0
221,16,0
225,13,0
226,14,0
228,6,0
229,13,0
230,6,0
231,6,0
232,6,0
245,22,1
246,12,0
247,27,0
248,13,0
322,30,1
323,8,0
249,23,0
324,11,1
254,17,1
255,17,0
256,17,1
257,17,1
258,17,0
260,6,1
261,6,1
262,13,1
263,13,0
264,6,1
265,15,1
266,12,0
267,12,0
269,16,1
270,15,1
274,10,1
275,10,1
276,15,1
280,26,1
283,11,1
284,4,0
285,14,1
286,15,1
287,22,1
289,11,1
290,23,0
291,17,0
292,18,1
293,18,1
294,10,1
296,15,1
298,16,1
301,16,0
304,16,0
305,11,1
306,26,0
308,11,1
311,12,0
316,13,1
4,12,0
5,12,0
10,10,0
14,29,0
18,15,0
19,1,0
98,3,0
123,3,0
113,13,0
105,1,0
122,1,0
123,1,0
124,1,0
125,1,0
97,2,0
98,2,0
103,2,0
124,2,0
125,2,0
127,2,0
122,15,0
126,4,0
104,25,0
99,12,0
100,12,0
101,12,0
126,6,0
127,6,0
103,5,0
104,28,0
114,22,0
