fk_id_partnership_2018_info,fk_id_partnerships_main_areas,fk_id_flagship,fk_id_ext_partner,fk_id_phases,fk_id_crp
1,1,31,1859,108,12
1,1,31,1024,108,12
1,2,31,1859,108,12
1,2,31,1024,108,12
1,4,31,1859,108,12
1,4,31,1024,108,12
2,4,31,655,108,12
2,4,31,163,108,12
2,2,31,655,108,12
2,2,31,163,108,12
2,1,31,655,108,12
2,1,31,163,108,12
3,1,31,1904,108,12
3,1,31,1652,108,12
3,1,31,1982,108,12
3,1,31,1643,108,12
3,4,31,1904,108,12
3,4,31,1652,108,12
3,4,31,1982,108,12
3,4,31,1643,108,12
4,1,31,1018,108,12
4,1,31,273,108,12
4,3,31,1018,108,12
4,3,31,273,108,12
4,4,31,1018,108,12
4,4,31,273,108,12
5,1,31,1947,108,12
6,4,32,1606,108,12
6,2,32,1606,108,12
7,4,32,966,108,12
7,1,32,966,108,12
8,2,33,1398,108,12
8,2,33,1018,108,12
8,2,33,1031,108,12
8,4,33,1398,108,12
8,4,33,1018,108,12
8,4,33,1031,108,12
8,1,33,1398,108,12
8,1,33,1018,108,12
8,1,33,1031,108,12
9,1,33,1197,108,12
9,1,33,108,108,12
9,1,33,109,108,12
9,1,33,1036,108,12
9,1,33,2089,108,12
9,1,33,105,108,12
9,1,33,1697,108,12
10,4,33,1024,108,12
10,4,33,739,108,12
10,4,33,693,108,12
10,2,33,1024,108,12
10,2,33,739,108,12
10,2,33,693,108,12
10,1,33,1024,108,12
10,1,33,739,108,12
10,1,33,693,108,12
11,1,34,1710,108,12
12,6,34,110,108,12
13,1,34,1631,108,12
13,1,34,2230,108,12
14,1,34,971,108,12
15,1,34,1197,108,12
16,1,34,1909,108,12
16,1,34,1869,108,12
16,1,34,739,108,12
17,1,35,727,108,12
17,1,35,12,108,12
17,1,35,1921,108,12
18,1,35,959,108,12
19,1,35,971,108,12
20,2,35,727,108,12
20,1,35,727,108,12
21,1,23,967,74,5
21,4,23,967,74,5
21,2,23,967,74,5
22,2,23,2116,74,5
22,1,23,2116,74,5
22,4,23,2116,74,5
23,1,23,2025,74,5
23,4,23,2025,74,5
24,4,23,967,74,5
24,3,23,967,74,5
25,4,5,2252,23,2
25,4,5,363,23,2
25,4,5,113,23,2
25,4,5,15,23,2
